Original_Filename,Original_Path,Term_ID,Primary_Domain,Target_KG,Target_Path,Migration_Action,Priority,Blockchain_Relevance
Rescue Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Rescue Robot.md,RB-0017,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Rescue Robot.md,MOVE,EXCLUDE,NONE
Residual Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Residual Network.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Residual Network.md,MOVE,MEDIUM,LOW
Resilience Metric.md,/home/user/logseq/mainKnowledgeGraph/pages/Resilience Metric.md,,MetaverseDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Robot Dynamics.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Dynamics.md,RB-0022,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Dynamics.md,MOVE,EXCLUDE,NONE
Robot Encoder.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Encoder.md,RB-0072,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Encoder.md,MOVE,EXCLUDE,NONE
Robot Joint.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Joint.md,RB-0026,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Joint.md,MOVE,EXCLUDE,NONE
Robot Link.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Link.md,RB-0027,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Link.md,MOVE,EXCLUDE,NONE
Robot Motion Planning.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Motion Planning.md,RB-0049,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Motion Planning.md,MOVE,EXCLUDE,NONE
Robot Path Planning.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Path Planning.md,RB-0050,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Path Planning.md,MOVE,EXCLUDE,NONE
Robot Risk Assessment.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Risk Assessment.md,RB-0089,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Risk Assessment.md,MOVE,EXCLUDE,NONE
Robot Safety.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Safety.md,RB-0086,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Safety.md,MOVE,EXCLUDE,NONE
Robot Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Sensor.md,RB-0066,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Sensor.md,MOVE,EXCLUDE,NONE
Robot Singularity.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Singularity.md,RB-0031,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Singularity.md,MOVE,EXCLUDE,NONE
SHA-256.md,/home/user/logseq/mainKnowledgeGraph/pages/SHA-256.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/SHA-256.md,MOVE,HIGH,HIGH
Safety Integrity Level.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Integrity Level.md,RB-0100,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Integrity Level.md,MOVE,EXCLUDE,NONE
Safety Laser Scanner.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Laser Scanner.md,RB-0098,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Laser Scanner.md,MOVE,EXCLUDE,NONE
Salt.md,/home/user/logseq/mainKnowledgeGraph/pages/Salt.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Salt.md,MOVE,HIGH,HIGH
Schnorr Signature.md,/home/user/logseq/mainKnowledgeGraph/pages/Schnorr Signature.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Schnorr Signature.md,MOVE,HIGH,HIGH
Script.md,/home/user/logseq/mainKnowledgeGraph/pages/Script.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Script.md,MOVE,HIGH,HIGH
Selfish Mining.md,/home/user/logseq/mainKnowledgeGraph/pages/Selfish Mining.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Selfish Mining.md,MOVE,HIGH,HIGH
Service Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Service Robot.md,RB-0006,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Service Robot.md,MOVE,EXCLUDE,NONE
Sliding Mode Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Sliding Mode Control.md,RB-0063,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Sliding Mode Control.md,MOVE,EXCLUDE,NONE
SmartContract.md,/home/user/logseq/mainKnowledgeGraph/pages/SmartContract.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Societal and Environmental Wellbeing.md,/home/user/logseq/mainKnowledgeGraph/pages/Societal and Environmental Wellbeing.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Spatial Audio Scene Description.md,/home/user/logseq/mainKnowledgeGraph/pages/Spatial Audio Scene Description.md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Spatial Audio Scene Description.md,MOVE,LOW-MEDIUM,MEDIUM
Stiffness.md,/home/user/logseq/mainKnowledgeGraph/pages/Stiffness.md,RB-0039,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Stiffness.md,MOVE,EXCLUDE,NONE
Swarm Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Swarm Robot.md,RB-0020,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Swarm Robot.md,MOVE,EXCLUDE,NONE
Sybil Attack.md,/home/user/logseq/mainKnowledgeGraph/pages/Sybil Attack.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Sybil Attack.md,MOVE,HIGH,HIGH
Technology Adoption.md,/home/user/logseq/mainKnowledgeGraph/pages/Technology Adoption.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Temperature Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Temperature Sensor.md,RB-0084,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Temperature Sensor.md,MOVE,EXCLUDE,NONE
Torque.md,/home/user/logseq/mainKnowledgeGraph/pages/Torque.md,RB-0043,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Torque.md,MOVE,EXCLUDE,NONE
Training.md,/home/user/logseq/mainKnowledgeGraph/pages/Training.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Training.md,MOVE,MEDIUM,LOW
Trajectory Planning.md,/home/user/logseq/mainKnowledgeGraph/pages/Trajectory Planning.md,RB-0051,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Trajectory Planning.md,MOVE,EXCLUDE,NONE
Transaction Confirmation.md,/home/user/logseq/mainKnowledgeGraph/pages/Transaction Confirmation.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Transaction Confirmation.md,MOVE,HIGH,HIGH
Transaction Pool.md,/home/user/logseq/mainKnowledgeGraph/pages/Transaction Pool.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Transaction Pool.md,MOVE,HIGH,HIGH
Transaction.md,/home/user/logseq/mainKnowledgeGraph/pages/Transaction.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Transaction.md,MOVE,HIGH,HIGH
Transformer.md,/home/user/logseq/mainKnowledgeGraph/pages/Transformer.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Transformer.md,MOVE,MEDIUM,LOW
UNESCO Recommendation on the Ethics of AI.md,/home/user/logseq/mainKnowledgeGraph/pages/UNESCO Recommendation on the Ethics of AI.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Velocity Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Velocity Control.md,RB-0055,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Velocity Control.md,MOVE,EXCLUDE,NONE
Velocity.md,/home/user/logseq/mainKnowledgeGraph/pages/Velocity.md,RB-0044,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Velocity.md,MOVE,EXCLUDE,NONE
Verifiable Credential (VC).md,/home/user/logseq/mainKnowledgeGraph/pages/Verifiable Credential (VC).md,,Blockchain Governance,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Verifiable Credential (VC).md,MOVE,MEDIUM-HIGH,MEDIUM-HIGH
Virtual Production (VP).md,/home/user/logseq/mainKnowledgeGraph/pages/Virtual Production (VP).md,,Creative/NFT,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Virtual Production (VP).md,MOVE,LOW-MEDIUM,MEDIUM
Virtual Property Right.md,/home/user/logseq/mainKnowledgeGraph/pages/Virtual Property Right.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Virtual Securities Offering (VSO).md,/home/user/logseq/mainKnowledgeGraph/pages/Virtual Securities Offering (VSO).md,,Economics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Vision System.md,/home/user/logseq/mainKnowledgeGraph/pages/Vision System.md,RB-0068,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Vision System.md,MOVE,EXCLUDE,NONE
Visual Servoing.md,/home/user/logseq/mainKnowledgeGraph/pages/Visual Servoing.md,RB-0065,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Visual Servoing.md,MOVE,EXCLUDE,NONE
Wheeled Mobile Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Wheeled Mobile Robot.md,RB-0012,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Wheeled Mobile Robot.md,MOVE,EXCLUDE,NONE
Workspace.md,/home/user/logseq/mainKnowledgeGraph/pages/Workspace.md,RB-0024,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Workspace.md,MOVE,EXCLUDE,NONE
World Instance.md,/home/user/logseq/mainKnowledgeGraph/pages/World Instance.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Zero-Knowledge Proof.md,/home/user/logseq/mainKnowledgeGraph/pages/Zero-Knowledge Proof.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Zero-Knowledge Proof.md,MOVE,HIGH,HIGH
AI Ethics Board.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Ethics Board.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Agreement Protocol.md,/home/user/logseq/mainKnowledgeGraph/pages/Agreement Protocol.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Agreement Protocol.md,MOVE,HIGH,HIGH
Algorithmic Transparency Reports.md,/home/user/logseq/mainKnowledgeGraph/pages/Algorithmic Transparency Reports.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Autonomous Agent.md,/home/user/logseq/mainKnowledgeGraph/pages/Autonomous Agent.md,,ComputationAndIntelligenceDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
